[compile] four-rank GABLS1 y-slab ready in 13.045s
step=15400 time=3.3094/9h CFL=0.7000 CFLnu=0.0558 divL2=1.651e-04 Q0=-8.446e-03 theta_budget=4.001e-08
step=15500 time=3.3281/9h CFL=0.7000 CFLnu=0.0737 divL2=1.669e-04 Q0=-8.436e-03 theta_budget=1.043e-07
step=15600 time=3.3474/9h CFL=0.7000 CFLnu=0.0557 divL2=1.666e-04 Q0=-8.493e-03 theta_budget=8.559e-08
step=15700 time=3.3668/9h CFL=0.7000 CFLnu=0.0547 divL2=1.657e-04 Q0=-8.666e-03 theta_budget=6.922e-08
step=15800 time=3.3862/9h CFL=0.7000 CFLnu=0.0579 divL2=1.655e-04 Q0=-8.536e-03 theta_budget=8.018e-08
step=15900 time=3.4056/9h CFL=0.7000 CFLnu=0.0625 divL2=1.646e-04 Q0=-8.372e-03 theta_budget=1.060e-07
step=16000 time=3.4254/9h CFL=0.7000 CFLnu=0.0600 divL2=1.644e-04 Q0=-8.173e-03 theta_budget=7.900e-09
step=16100 time=3.4454/9h CFL=0.7000 CFLnu=0.0591 divL2=1.653e-04 Q0=-8.122e-03 theta_budget=9.463e-08
step=16200 time=3.4655/9h CFL=0.7000 CFLnu=0.0569 divL2=1.662e-04 Q0=-7.856e-03 theta_budget=1.057e-07
step=16300 time=3.4855/9h CFL=0.7000 CFLnu=0.0566 divL2=1.646e-04 Q0=-7.603e-03 theta_budget=1.160e-07
step=16400 time=3.5052/9h CFL=0.7000 CFLnu=0.0527 divL2=1.669e-04 Q0=-7.382e-03 theta_budget=1.025e-07
step=16500 time=3.5254/9h CFL=0.7000 CFLnu=0.0557 divL2=1.649e-04 Q0=-7.142e-03 theta_budget=1.125e-08
step=16600 time=3.5458/9h CFL=0.7000 CFLnu=0.0526 divL2=1.646e-04 Q0=-7.049e-03 theta_budget=6.252e-08
step=16700 time=3.5661/9h CFL=0.7000 CFLnu=0.0434 divL2=1.640e-04 Q0=-6.972e-03 theta_budget=7.892e-08
step=16800 time=3.5863/9h CFL=0.7000 CFLnu=0.0619 divL2=1.633e-04 Q0=-7.278e-03 theta_budget=1.009e-07
step=16900 time=3.6062/9h CFL=0.7000 CFLnu=0.0559 divL2=1.646e-04 Q0=-7.413e-03 theta_budget=2.458e-08
step=17000 time=3.6265/9h CFL=0.7000 CFLnu=0.0496 divL2=1.663e-04 Q0=-7.511e-03 theta_budget=1.875e-08
step=17100 time=3.6467/9h CFL=0.7000 CFLnu=0.0484 divL2=1.660e-04 Q0=-7.495e-03 theta_budget=1.422e-08
step=17200 time=3.6667/9h CFL=0.7000 CFLnu=0.0678 divL2=1.638e-04 Q0=-7.481e-03 theta_budget=8.101e-08
step=17300 time=3.6868/9h CFL=0.7000 CFLnu=0.0527 divL2=1.672e-04 Q0=-7.397e-03 theta_budget=1.109e-07
step=17400 time=3.7069/9h CFL=0.7000 CFLnu=0.0552 divL2=1.662e-04 Q0=-7.453e-03 theta_budget=1.283e-07
step=17500 time=3.7268/9h CFL=0.7000 CFLnu=0.0495 divL2=1.639e-04 Q0=-7.734e-03 theta_budget=1.542e-07
